PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35458940","Automatic Muscle Artifacts Identification and Removal from Single-Channel EEG Using Wavelet Transform with Meta-Heuristically Optimized Non-Local Means Filter","Phadikar S, Sinha N, Ghosh R, Ghaderpour E.","Sensors (Basel). 2022 Apr 12;22(8):2948. doi: 10.3390/s22082948.","Phadikar S","Sensors (Basel)","2022","2022/04/23","PMC9030243","","10.3390/s22082948"
"35447725","Heart Rate Variability Analysis for Seizure Detection in Neonatal Intensive Care Units","Olmi B, Manfredi C, Frassineti L, Dani C, Lori S, Bertini G, Cossu C, Bastianelli M, Gabbanini S, Lanatà A.","Bioengineering (Basel). 2022 Apr 7;9(4):165. doi: 10.3390/bioengineering9040165.","Olmi B","Bioengineering (Basel)","2022","2022/04/21","PMC9031489","","10.3390/bioengineering9040165"
"35431612","Optimized deformable convolution network for detection and mitigation of ocular artifacts from EEG signal","Prasad DS, Chanamallu SR, Prasad KS.","Multimed Tools Appl. 2022 Apr 7:1-39. doi: 10.1007/s11042-022-12874-4. Online ahead of print.","Prasad DS","Multimed Tools Appl","2022","2022/04/18","PMC8989407","","10.1007/s11042-022-12874-4"
"35530517","Stimulus-induced Robust Narrow-band Gamma Oscillations in Human EEG Using Cartesian Gratings","Murty DVPS, Ray S.","Bio Protoc. 2022 Apr 5;12(7):e4379. doi: 10.21769/BioProtoc.4379. eCollection 2022 Apr 5.","Murty DVPS","Bio Protoc","2022","2022/05/09","PMC9018439","","10.21769/BioProtoc.4379"
"35363809","Visual segmentation of complex naturalistic structures in an infant eye-tracking search task","Schlegelmilch K, Wertz AE.","PLoS One. 2022 Apr 1;17(4):e0266158. doi: 10.1371/journal.pone.0266158. eCollection 2022.","Schlegelmilch K","PLoS One","2022","2022/04/01","PMC8975119","","10.1371/journal.pone.0266158"
"35093730","Automated Pipeline for Infants Continuous EEG (APICE): A flexible pipeline for developmental cognitive studies","Fló A, Gennari G, Benjamin L, Dehaene-Lambertz G.","Dev Cogn Neurosci. 2022 Apr;54:101077. doi: 10.1016/j.dcn.2022.101077. Epub 2022 Jan 25.","Fló A","Dev Cogn Neurosci","2022","2022/01/30","PMC8804179","","10.1016/j.dcn.2022.101077"
"35085870","NEAR: An artifact removal pipeline for human newborn EEG data","Kumaravel VP, Farella E, Parise E, Buiatti M.","Dev Cogn Neurosci. 2022 Apr;54:101068. doi: 10.1016/j.dcn.2022.101068. Epub 2022 Jan 15.","Kumaravel VP","Dev Cogn Neurosci","2022","2022/01/27","PMC8800139","","10.1016/j.dcn.2022.101068"
"34826109","Upper-Body Post-activation Performance Enhancement for Athletic Performance: A Systematic Review with Meta-analysis and Recommendations for Future Research","Finlay MJ, Bridge CA, Greig M, Page RM.","Sports Med. 2022 Apr;52(4):847-871. doi: 10.1007/s40279-021-01598-4. Epub 2021 Nov 26.","Finlay MJ","Sports Med","2022","2021/11/26","PMC8938350","","10.1007/s40279-021-01598-4"
"35408190","LASSO Homotopy-Based Sparse Representation Classification for fNIRS-BCI","Gulraiz A, Naseer N, Nazeer H, Khan MJ, Khan RA, Shahbaz Khan U.","Sensors (Basel). 2022 Mar 28;22(7):2575. doi: 10.3390/s22072575.","Gulraiz A","Sensors (Basel)","2022","2022/04/12","PMC9003428","","10.3390/s22072575"
"35303027","Human state anxiety classification framework using EEG signals in response to exposure therapy","Muhammad F, Al-Ahmadi S.","PLoS One. 2022 Mar 18;17(3):e0265679. doi: 10.1371/journal.pone.0265679. eCollection 2022.","Muhammad F","PLoS One","2022","2022/03/18","PMC8932601","","10.1371/journal.pone.0265679"
"35360180","EEG-fMRI: Ballistocardiogram Artifact Reduction by Surrogate Method for Improved Source Localization","Rusiniak M, Bornfleth H, Cho JH, Wolak T, Ille N, Berg P, Scherg M.","Front Neurosci. 2022 Mar 10;16:842420. doi: 10.3389/fnins.2022.842420. eCollection 2022.","Rusiniak M","Front Neurosci","2022","2022/04/01","PMC8960642","","10.3389/fnins.2022.842420"
"34876396","Continuous Noninvasive Remote Automated Blood Pressure Monitoring With Novel Wearable Technology: A Preliminary Validation Study","McGillion MH, Dvirnik N, Yang S, Belley-Côté E, Lamy A, Whitlock R, Marcucci M, Borges FK, Duceppe E, Ouellette C, Bird M, Carroll SL, Conen D, Tarride JE, Harsha P, Scott T, Good A, Gregus K, Sanchez K, Benoit P, Owen J, Harvey V, Peter E, Petch J, Vincent J, Graham M, Devereaux PJ.","JMIR Mhealth Uhealth. 2022 Feb 28;10(2):e24916. doi: 10.2196/24916.","McGillion MH","JMIR Mhealth Uhealth","2022","2021/12/08","PMC8922156","","10.2196/24916"
"35190736","Intelligent Method for Real-Time Portable EEG Artifact Annotation in Semiconstrained Environment Based on Computer Vision","Qian X, Wang M, Wang X, Wang Y, Dai W.","Comput Intell Neurosci. 2022 Feb 12;2022:9590411. doi: 10.1155/2022/9590411. eCollection 2022.","Qian X","Comput Intell Neurosci","2022","2022/02/22","PMC8858064","","10.1155/2022/9590411"
"35221897","Implementation of a Convolutional Neural Network for Eye Blink Artifacts Removal From the Electroencephalography Signal","Jurczak M, Kołodziej M, Majkowski A.","Front Neurosci. 2022 Feb 11;16:782367. doi: 10.3389/fnins.2022.782367. eCollection 2022.","Jurczak M","Front Neurosci","2022","2022/02/28","PMC8874023","","10.3389/fnins.2022.782367"
"35222084","Computer-Assisted Assessment of the Interaction Between Arousals, Breath-by-Breath Ventilation, and Chemical Drive During Cheyne-Stokes Respiration in Heart Failure Patients","Pinna GD, Maestri R.","Front Physiol. 2022 Feb 10;13:815352. doi: 10.3389/fphys.2022.815352. eCollection 2022.","Pinna GD","Front Physiol","2022","2022/02/28","PMC8867072","","10.3389/fphys.2022.815352"
"35110665","A neuromorphic spiking neural network detects epileptic high frequency oscillations in the scalp EEG","Burelo K, Ramantani G, Indiveri G, Sarnthein J.","Sci Rep. 2022 Feb 2;12(1):1798. doi: 10.1038/s41598-022-05883-8.","Burelo K","Sci Rep","2022","2022/02/03","PMC8810784","","10.1038/s41598-022-05883-8"
"35036481","SAM 40: Dataset of 40 subject EEG recordings to monitor the induced-stress while performing Stroop color-word test, arithmetic task, and mirror image recognition task","Ghosh R, Deb N, Sengupta K, Phukan A, Choudhury N, Kashyap S, Phadikar S, Saha R, Das P, Sinha N, Dutta P.","Data Brief. 2022 Jan 1;40:107772. doi: 10.1016/j.dib.2021.107772. eCollection 2022 Feb.","Ghosh R","Data Brief","2022","2022/01/17","PMC8749216","","10.1016/j.dib.2021.107772"
"35153968","Are High Frequency Oscillations in Scalp EEG Related to Age?","Windhager PF, Marcu AV, Trinka E, Bathke A, Höller Y.","Front Neurol. 2022 Jan 27;12:722657. doi: 10.3389/fneur.2021.722657. eCollection 2021.","Windhager PF","Front Neurol","2022","2022/02/14","PMC8829347","","10.3389/fneur.2021.722657"
"35161676","SSA with CWT and k-Means for Eye-Blink Artifact Removal from Single-Channel EEG Signals","Maddirala AK, Veluvolu KC.","Sensors (Basel). 2022 Jan 25;22(3):931. doi: 10.3390/s22030931.","Maddirala AK","Sensors (Basel)","2022","2022/02/15","PMC8838657","","10.3390/s22030931"
"35127833","Closed-Loop Torque and Kinematic Control of a Hybrid Lower-Limb Exoskeleton for Treadmill Walking","Chang CH, Casas J, Brose SW, Duenas VH.","Front Robot AI. 2022 Jan 20;8:702860. doi: 10.3389/frobt.2021.702860. eCollection 2021.","Chang CH","Front Robot AI","2022","2022/02/07","PMC8811381","","10.3389/frobt.2021.702860"
"35096136","Review on Epileptic Seizure Prediction: Machine Learning and Deep Learning Approaches","Natu M, Bachute M, Gite S, Kotecha K, Vidyarthi A.","Comput Math Methods Med. 2022 Jan 20;2022:7751263. doi: 10.1155/2022/7751263. eCollection 2022.","Natu M","Comput Math Methods Med","2022","2022/01/31","PMC8794701","","10.1155/2022/7751263"
"35083329","Recognition of Ocular Artifacts in EEG Signal through a Hybrid Optimized Scheme","Sahoo SK, Mohapatra SK.","Biomed Res Int. 2022 Jan 17;2022:4875399. doi: 10.1155/2022/4875399. eCollection 2022.","Sahoo SK","Biomed Res Int","2022","2022/01/27","PMC8786538","","10.1155/2022/4875399"
"35169696","Refining epileptogenic high-frequency oscillations using deep learning: a reverse engineering approach","Zhang Y, Lu Q, Monsoor T, Hussain SA, Qiao JX, Salamon N, Fallah A, Sim MS, Asano E, Sankar R, Staba RJ, Engel J Jr, Speier W, Roychowdhury V, Nariai H.","Brain Commun. 2021 Nov 3;4(1):fcab267. doi: 10.1093/braincomms/fcab267. eCollection 2022.","Zhang Y","Brain Commun","2021","2022/02/16","PMC8833577","","10.1093/braincomms/fcab267"
"34975575","Similar Hemodynamic Signal Patterns Between Compact NIRS and 52-Channel NIRS During a Verbal Fluency Task","Hirano J, Takamiya A, Yamamoto Y, Minami F, Mimura M, Yamagata B.","Front Psychiatry. 2021 Dec 16;12:772339. doi: 10.3389/fpsyt.2021.772339. eCollection 2021.","Hirano J","Front Psychiatry","2021","2022/01/03","PMC8716818","","10.3389/fpsyt.2021.772339"
"34924988","A Toolbox and Crowdsourcing Platform for Automatic Labeling of Independent Components in Electroencephalography","Soghoyan G, Ledovsky A, Nekrashevich M, Martynova O, Polikanova I, Portnova G, Rebreikina A, Sysoeva O, Sharaev M.","Front Neuroinform. 2021 Dec 2;15:720229. doi: 10.3389/fninf.2021.720229. eCollection 2021.","Soghoyan G","Front Neuroinform","2021","2021/12/20","PMC8675888","","10.3389/fninf.2021.720229"
"34988270","Human electrocortical, electromyographical, ocular, and kinematic data during perturbed walking and standing","Peterson SM, Ferris DP.","Data Brief. 2021 Nov 25;39:107635. doi: 10.1016/j.dib.2021.107635. eCollection 2021 Dec.","Peterson SM","Data Brief","2021","2022/01/06","PMC8711048","","10.1016/j.dib.2021.107635"
"34715619","Automatic classification of ICA components from infant EEG using MARA","Marriott Haresign I, Phillips E, Whitehorn M, Noreika V, Jones EJH, Leong V, Wass SV.","Dev Cogn Neurosci. 2021 Dec;52:101024. doi: 10.1016/j.dcn.2021.101024. Epub 2021 Oct 20.","Marriott Haresign I","Dev Cogn Neurosci","2021","2021/10/29","PMC8556604","","10.1016/j.dcn.2021.101024"
"34351710","Seizures induced in electroconvulsive therapy as a human epilepsy model: A comparative case study","Pottkämper JCM, Verdijk JPAJ, Hofmeijer J, van Waarde JA, van Putten MJAM.","Epilepsia Open. 2021 Dec;6(4):672-684. doi: 10.1002/epi4.12532. Epub 2021 Aug 20.","Pottkämper JCM","Epilepsia Open","2021","2021/08/05","PMC8633469","","10.1002/epi4.12532"
"34900346","A novel strategy for driving car brain-computer interfaces: Discrimination of EEG-based visual-motor imagery","Zhou Z, Gong A, Qian Q, Su L, Zhao L, Fu Y.","Transl Neurosci. 2021 Nov 30;12(1):482-493. doi: 10.1515/tnsci-2020-0199. eCollection 2021 Jan 1.","Zhou Z","Transl Neurosci","2021","2021/12/13","PMC8633586","","10.1515/tnsci-2020-0199"
"34833790","The Influence of Filters on EEG-ERP Testing: Analysis of Motor Cortex in Healthy Subjects","Karpiel I, Kurasz Z, Kurasz R, Duch K.","Sensors (Basel). 2021 Nov 19;21(22):7711. doi: 10.3390/s21227711.","Karpiel I","Sensors (Basel)","2021","2021/11/27","PMC8619013","","10.3390/s21227711"
"34833780","Epileptic Seizures Detection in EEG Signals Using Fusion Handcrafted and Deep Learning Features","Malekzadeh A, Zare A, Yaghoobi M, Kobravi HR, Alizadehsani R.","Sensors (Basel). 2021 Nov 19;21(22):7710. doi: 10.3390/s21227710.","Malekzadeh A","Sensors (Basel)","2021","2021/11/27","PMC8624422","","10.3390/s21227710"
"34776860","Suppressing of Power Line Artifact From Electroencephalogram Measurements Using Sparsity in Frequency Domain","Tan JL, Liang ZF, Zhang R, Dong YQ, Li GH, Zhang M, Wang H, Xu N.","Front Neurosci. 2021 Oct 28;15:780373. doi: 10.3389/fnins.2021.780373. eCollection 2021.","Tan JL","Front Neurosci","2021","2021/11/15","PMC8581206","","10.3389/fnins.2021.780373"
"34722932","In search for the most optimal EEG method: A practical evaluation of a water-based electrode EEG system","Topor M, Opitz B, Dean PJA.","Brain Neurosci Adv. 2021 Oct 26;5:23982128211053698. doi: 10.1177/23982128211053698. eCollection 2021 Jan-Dec.","Topor M","Brain Neurosci Adv","2021","2021/11/01","PMC8554570","","10.1177/23982128211053698"
"34834408","Prefrontal Lobe and Posterior Cingulate Cortex Activations in Patients with Major Depressive Disorder by Using Standardized Weighted Low-Resolution Electromagnetic Tomography","Lin IM, Yu HE, Yeh YC, Huang MF, Wu KT, Ke CK, Lin PY, Yen CF.","J Pers Med. 2021 Oct 21;11(11):1054. doi: 10.3390/jpm11111054.","Lin IM","J Pers Med","2021","2021/11/27","PMC8622917","","10.3390/jpm11111054"
"34707475","A Novel Method Based on Combination of Independent Component Analysis and Ensemble Empirical Mode Decomposition for Removing Electrooculogram Artifacts From Multichannel Electroencephalogram Signals","Teng CL, Zhang YY, Wang W, Luo YY, Wang G, Xu J.","Front Neurosci. 2021 Oct 11;15:729403. doi: 10.3389/fnins.2021.729403. eCollection 2021.","Teng CL","Front Neurosci","2021","2021/10/28","PMC8542780","","10.3389/fnins.2021.729403"
"34640913","EEG Monitoring Is Feasible and Reliable during Simultaneous Transcutaneous Electrical Spinal Cord Stimulation","McGeady C, Vučković A, Zheng YP, Alam M.","Sensors (Basel). 2021 Oct 2;21(19):6593. doi: 10.3390/s21196593.","McGeady C","Sensors (Basel)","2021","2021/10/13","PMC8512663","","10.3390/s21196593"
"34584747","Motion artefact removal in electroencephalography and electrocardiography by using multichannel inertial measurement units and adaptive filtering","Beach C, Li M, Balaban E, Casson AJ.","Healthc Technol Lett. 2021 Jun 24;8(5):128-138. doi: 10.1049/htl2.12016. eCollection 2021 Oct.","Beach C","Healthc Technol Lett","2021","2021/09/29","PMC8450177","","10.1049/htl2.12016"
"34272934","Wireless Soft Scalp Electronics and Virtual Reality System for Motor Imagery-Based Brain-Machine Interfaces","Mahmood M, Kwon S, Kim H, Kim YS, Siriaraya P, Choi J, Otkhmezuri B, Kang K, Yu KJ, Jang YC, Ang CS, Yeo WH.","Adv Sci (Weinh). 2021 Oct;8(19):e2101129. doi: 10.1002/advs.202101129. Epub 2021 Jul 17.","Mahmood M","Adv Sci (Weinh)","2021","2021/07/17","PMC8498913","","10.1002/advs.202101129"
"34144161","The impact of artifact removal approaches on TMS-EEG signal","Bertazzoli G, Esposito R, Mutanen TP, Ferrari C, Ilmoniemi RJ, Miniussi C, Bortoletto M.","Neuroimage. 2021 Oct 1;239:118272. doi: 10.1016/j.neuroimage.2021.118272. Epub 2021 Jun 16.","Bertazzoli G","Neuroimage","2021","2021/06/18","","","10.1016/j.neuroimage.2021.118272"
"34640681","Automated Detection and Removal of Cardiac and Pulse Interferences from Neonatal EEG Signals","Tamburro G, Croce P, Zappasodi F, Comani S.","Sensors (Basel). 2021 Sep 23;21(19):6364. doi: 10.3390/s21196364.","Tamburro G","Sensors (Basel)","2021","2021/10/13","PMC8512476","","10.3390/s21196364"
"34577222","Identification of Ictal Tachycardia in Focal Motor- and Non-Motor Seizures by Means of a Wearable PPG Sensor","Glasstetter M, Böttcher S, Zabler N, Epitashvili N, Dümpelmann M, Richardson MP, Schulze-Bonhage A.","Sensors (Basel). 2021 Sep 8;21(18):6017. doi: 10.3390/s21186017.","Glasstetter M","Sensors (Basel)","2021","2021/09/28","PMC8470979","","10.3390/s21186017"
"34573795","A Fast Approach to Removing Muscle Artifacts for EEG with Signal Serialization Based Ensemble Empirical Mode Decomposition","Dai Y, Duan F, Feng F, Sun Z, Zhang Y, Caiafa CF, Marti-Puig P, Solé-Casals J.","Entropy (Basel). 2021 Sep 6;23(9):1170. doi: 10.3390/e23091170.","Dai Y","Entropy (Basel)","2021","2021/09/28","PMC8465074","","10.3390/e23091170"
"34101939","Data-driven beamforming technique to attenuate ballistocardiogram artefacts in electroencephalography-functional magnetic resonance imaging without detecting cardiac pulses in electrocardiography recordings","Uji M, Cross N, Pomares FB, Perrault AA, Jegou A, Nguyen A, Aydin U, Lina JM, Dang-Vu TT, Grova C.","Hum Brain Mapp. 2021 Aug 15;42(12):3993-4021. doi: 10.1002/hbm.25535. Epub 2021 Jun 8.","Uji M","Hum Brain Mapp","2021","2021/06/08","PMC8288107","","10.1002/hbm.25535"
"34441170","Choosing Strategies to Deal with Artifactual EEG Data in Children with Cognitive Impairment","Tost A, Migliorelli C, Bachiller A, Medina-Rivera I, Romero S, García-Cazorla Á, Mañanas MA.","Entropy (Basel). 2021 Aug 11;23(8):1030. doi: 10.3390/e23081030.","Tost A","Entropy (Basel)","2021","2021/08/27","PMC8392530","","10.3390/e23081030"
"34214093","Safety and data quality of EEG recorded simultaneously with multi-band fMRI","Egan MK, Larsen R, Wirsich J, Sutton BP, Sadaghiani S.","PLoS One. 2021 Jul 2;16(7):e0238485. doi: 10.1371/journal.pone.0238485. eCollection 2021.","Egan MK","PLoS One","2021","2021/07/02","PMC8253410","","10.1371/journal.pone.0238485"
"35154587","EEG Artifact Removal System for Depression Using a Hybrid Denoising Approach","Kaur C, Singh P, Sahni S.","Basic Clin Neurosci. 2021 Jul-Aug;12(4):465-476. doi: 10.32598/bcn.2021.1388.2. Epub 2021 Jul 1.","Kaur C","Basic Clin Neurosci","2021","2022/02/14","PMC8817173","","10.32598/bcn.2021.1388.2"
"34209391","Internal Consistency of Sway Measures via Embedded Head-Mounted Accelerometers: Implications for Neuromotor Investigations","Lapointe AP, Ritchie JN, Vitali RV, Burma JS, Soroush A, Oni I, Dunn JF.","Sensors (Basel). 2021 Jun 30;21(13):4492. doi: 10.3390/s21134492.","Lapointe AP","Sensors (Basel)","2021","2021/07/02","PMC8271381","","10.3390/s21134492"
"34044374","Deep learning of resting-state electroencephalogram signals for three-class classification of Alzheimer's disease, mild cognitive impairment and healthy ageing","Huggins CJ, Escudero J, Parra MA, Scally B, Anghinah R, Vitória Lacerda De Araújo A, Basile LF, Abasolo D.","J Neural Eng. 2021 Jun 17;18(4). doi: 10.1088/1741-2552/ac05d8.","Huggins CJ","J Neural Eng","2021","2021/05/27","","","10.1088/1741-2552/ac05d8"
"34205076","Parieto-Occipital Alpha and Low-Beta EEG Power Reflect Sense of Agency","Bu-Omer HM, Gofuku A, Sato K, Miyakoshi M.","Brain Sci. 2021 Jun 3;11(6):743. doi: 10.3390/brainsci11060743.","Bu-Omer HM","Brain Sci","2021","2021/07/02","PMC8228805","","10.3390/brainsci11060743"
"33948453","A set of electroencephalographic (EEG) data recorded during amplitude-modulated transcranial alternating current stimulation (AM-tACS) targeting 10-Hz steady-state visually evoked potentials (SSVEP)","Haslacher D, Nasr K, Robinson SE, Braun C, Soekadar SR.","Data Brief. 2021 Mar 29;36:107011. doi: 10.1016/j.dib.2021.107011. eCollection 2021 Jun.","Haslacher D","Data Brief","2021","2021/05/05","PMC8080469","","10.1016/j.dib.2021.107011"
"34135744","Building an Open Source Classifier for the Neonatal EEG Background: A Systematic Feature-Based Approach From Expert Scoring to Clinical Visualization","Moghadam SM, Pinchefsky E, Tse I, Marchi V, Kohonen J, Kauppila M, Airaksinen M, Tapani K, Nevalainen P, Hahn C, Tam EWY, Stevenson NJ, Vanhatalo S.","Front Hum Neurosci. 2021 May 31;15:675154. doi: 10.3389/fnhum.2021.675154. eCollection 2021.","Moghadam SM","Front Hum Neurosci","2021","2021/06/17","PMC8200402","","10.3389/fnhum.2021.675154"
"34122026","Investigating Nuisance Effects Induced in EEG During tACS Application","Holzmann R, Koppehele-Gossel J, Voss U, Klimke A.","Front Hum Neurosci. 2021 May 28;15:637080. doi: 10.3389/fnhum.2021.637080. eCollection 2021.","Holzmann R","Front Hum Neurosci","2021","2021/06/14","PMC8193977","","10.3389/fnhum.2021.637080"
"34040062","Eye-blink artifact removal from single channel EEG with k-means and SSA","Maddirala AK, Veluvolu KC.","Sci Rep. 2021 May 26;11(1):11043. doi: 10.1038/s41598-021-90437-7.","Maddirala AK","Sci Rep","2021","2021/05/27","PMC8155082","","10.1038/s41598-021-90437-7"
"34122621","Expression-EEG Bimodal Fusion Emotion Recognition Method Based on Deep Learning","Lu Y, Zhang H, Shi L, Yang F, Li J.","Comput Math Methods Med. 2021 May 25;2021:9940148. doi: 10.1155/2021/9940148. eCollection 2021.","Lu Y","Comput Math Methods Med","2021","2021/06/14","PMC8172283","","10.1155/2021/9940148"
"34046248","Electroencephalography in Orthostatic Tremor: A Prospective Study of 30 Patients","Hellman A, Bertoni JM, Bhatti DE, Murr N, Torres-Russotto D.","Tremor Other Hyperkinet Mov (N Y). 2021 May 21;11:18. doi: 10.5334/tohm.596.","Hellman A","Tremor Other Hyperkinet Mov (N Y)","2021","2021/05/28","PMC8139292","","10.5334/tohm.596"
"34064946","A Portable Waterproof EEG Acquisition Device for Dolphins","Yu Y, Li N, Li Y, Liu W.","Sensors (Basel). 2021 May 11;21(10):3336. doi: 10.3390/s21103336.","Yu Y","Sensors (Basel)","2021","2021/06/02","PMC8151498","","10.3390/s21103336"
"33826240","Subcortical short-term plasticity elicited by deep brain stimulation","Awad MZ, Vaden RJ, Irwin ZT, Gonzalez CL, Black S, Nakhmani A, Jaeger BC, Bentley JN, Guthrie BL, Walker HC.","Ann Clin Transl Neurol. 2021 May;8(5):1010-1023. doi: 10.1002/acn3.51275. Epub 2021 Apr 7.","Awad MZ","Ann Clin Transl Neurol","2021","2021/04/07","PMC8108424","","10.1002/acn3.51275"
"33647574","Frequency following responses and rate change complexes in cochlear implant users","Gransier R, Guérit F, Carlyon RP, Wouters J.","Hear Res. 2021 May;404:108200. doi: 10.1016/j.heares.2021.108200. Epub 2021 Feb 11.","Gransier R","Hear Res","2021","2021/03/01","PMC8052190","","10.1016/j.heares.2021.108200"
"33986718","Localization of Epileptic Foci Based on Simultaneous EEG-fMRI Data","Sadjadi SM, Ebrahimzadeh E, Shams M, Seraji M, Soltanian-Zadeh H.","Front Neurol. 2021 Apr 27;12:645594. doi: 10.3389/fneur.2021.645594. eCollection 2021.","Sadjadi SM","Front Neurol","2021","2021/05/14","PMC8110922","","10.3389/fneur.2021.645594"
"34430265","Characterizing Cochlear implant artefact removal from EEG recordings using a real human model","Undurraga JA, Van Yper L, Bance M, McAlpine D, Vickers D.","MethodsX. 2021 Apr 25;8:101369. doi: 10.1016/j.mex.2021.101369. eCollection 2021.","Undurraga JA","MethodsX","2021","2021/08/25","PMC8374497","","10.1016/j.mex.2021.101369"
"33922042","Photoplethysmography in Normal and Pathological Sleep","Vulcan RS, André S, Bruyneel M.","Sensors (Basel). 2021 Apr 22;21(9):2928. doi: 10.3390/s21092928.","Vulcan RS","Sensors (Basel)","2021","2021/04/30","PMC8122413","","10.3390/s21092928"
"33418074","Effects of Motor Tempo on Frontal Brain Activity: An fNIRS Study","Guérin SMR, Vincent MA, Karageorghis CI, Delevoye-Turrell YN.","Neuroimage. 2021 Apr 15;230:117597. doi: 10.1016/j.neuroimage.2020.117597. Epub 2021 Jan 6.","Guérin SMR","Neuroimage","2021","2021/01/08","","","10.1016/j.neuroimage.2020.117597"
"33897342","Adaptive Filtering for Improved EEG-Based Mental Workload Assessment of Ambulant Users","Rosanne O, Albuquerque I, Cassani R, Gagnon JF, Tremblay S, Falk TH.","Front Neurosci. 2021 Apr 7;15:611962. doi: 10.3389/fnins.2021.611962. eCollection 2021.","Rosanne O","Front Neurosci","2021","2021/04/26","PMC8058356","","10.3389/fnins.2021.611962"
"33528598","Measures of prefrontal functional near-infrared spectroscopy in visuomotor learning","Tinga AM, Clim MA, de Back TT, Louwerse MM.","Exp Brain Res. 2021 Apr;239(4):1061-1072. doi: 10.1007/s00221-021-06039-2. Epub 2021 Feb 2.","Tinga AM","Exp Brain Res","2021","2021/02/02","PMC8068645","","10.1007/s00221-021-06039-2"
